x,y,z,resultado_esperado1,resultado_esperado2
3.664720945690735032e+00,1.467858598173217510e+00,3.460225957717443457e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.383707590655559594e+00,3.709829775861221535e+00,2.318055633641101121e+00,1.000000000000000000e+00,0.000000000000000000e+00
4.246812188367879770e+00,2.132411369611647345e+00,2.737085883323243429e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.373835284774238552e+00,3.539221266123202536e+00,1.657204881279456643e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.239416459545972682e+00,2.631484478125011961e+00,2.936296092353766873e+00,1.000000000000000000e+00,0.000000000000000000e+00
4.330656861355461018e+00,2.923064668555023893e+00,2.302321898484645413e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.093609179451187075e+00,3.294920411501055746e+00,3.128353594091966894e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.728146108101844991e+00,3.640285042481735900e+00,2.972785852057284739e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.087713218250206282e+00,2.974157193116337528e+00,2.586401423254162335e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.052047725252667654e+00,3.202333180519840727e+00,2.400423036512384645e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.429567228704240689e+00,2.397119698850096903e+00,2.058980628872154828e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.584204763029916752e+00,4.341421764720937659e+00,3.733900805245292887e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.360534498930150438e+00,2.853626734088996031e+00,2.715442562930298287e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.659528300713547067e+00,2.159219188406770851e+00,2.307261360287000684e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.387109913919835513e+00,2.483978953583815041e+00,3.221085807228674103e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.994054443610129290e+00,2.422102645514489616e+00,3.640413588528688571e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.798250731526156443e+00,1.526959245422828459e+00,3.622723978625066898e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.505880341000464639e+00,4.879125319998234289e-01,3.403568872757499975e+00,1.000000000000000000e+00,0.000000000000000000e+00
4.253673708135089271e+00,3.411146407453930607e+00,2.860904641595936937e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.755457132420709332e+00,9.409136413265430932e-01,6.096489874682303522e+00,1.000000000000000000e+00,0.000000000000000000e+00
