error,peso1,peso2,peso3,bias
4.000000000000000083e-02,-1.136646893032547678e-01,-5.926801582455037964e-02,-9.369151388522865831e-02,-1.199999999999999817e-01
2.000000000000000042e-02,-4.941566359066106029e-02,-3.991775826161686469e-02,-2.248958107484437530e-02,-8.000000000000000167e-02
1.000000000000000021e-02,-8.060496434014777223e-02,-8.368319935258287934e-02,-2.008868235793243029e-02,-7.000000000000000666e-02
1.333333333333333419e-02,-6.932614320595567592e-02,-1.061245267474324183e-01,9.683075192211954008e-03,-5.000000000000000278e-02
1.666666666666666644e-02,-4.734616196224718243e-02,-9.219200388159916326e-02,5.120535812682305843e-02,-1.999999999999999695e-02
1.666666666666666644e-02,-6.274555974126337643e-02,-1.526234511848728603e-01,-3.454676051788235780e-02,-9.999999999999996739e-03
1.666666666666666644e-02,-1.772838575932889071e-02,-1.396725659184903934e-01,1.179704584505660014e-02,2.000000000000000389e-02
1.333333333333333419e-02,-1.517933366107319937e-02,-1.480457943482243743e-01,3.076999337476311880e-02,4.000000000000000777e-02
1.333333333333333419e-02,-1.263028156281752190e-02,-1.564190227779583553e-01,4.974294090446963745e-02,6.000000000000000472e-02
1.333333333333333419e-02,-3.301638543712615004e-02,-1.537187500300702947e-01,7.118295596329406172e-02,8.000000000000000167e-02
1.666666666666666644e-02,-6.717692790923900092e-02,-2.151001797023630591e-01,-1.012707637307233566e-02,8.999999999999999667e-02
2.000000000000000042e-02,-1.135655705212643141e-02,-1.556835805971265307e-01,5.525584633177911542e-02,1.299999999999999767e-01
1.333333333333333419e-02,-3.465151753560001546e-02,-1.322696811697386399e-01,5.866565062622368376e-02,1.499999999999999944e-01
1.000000000000000021e-02,-6.874967489425168332e-02,-1.553214955812048104e-01,4.303633857875575897e-02,1.600000000000000033e-01
1.333333333333333419e-02,-6.620062279599600585e-02,-1.636947240109387636e-01,6.200928610846227762e-02,1.800000000000000211e-01
1.333333333333333419e-02,-6.365157069774032839e-02,-1.720679524406727445e-01,8.098223363816879627e-02,2.000000000000000389e-01
1.666666666666666644e-02,-7.487695719728887367e-02,-2.445228832905875227e-01,-2.794866227315534468e-03,2.100000000000000477e-01
2.000000000000000042e-02,-1.905658634017630415e-02,-1.851062841853509666e-01,6.258805647753591661e-02,2.500000000000000555e-01
1.333333333333333419e-02,-4.235154682364988821e-02,-1.616923847579630480e-01,6.599786077198048495e-02,2.700000000000000733e-01
1.000000000000000021e-02,-7.644970418230155607e-02,-1.847441991694291907e-01,5.036854872451256016e-02,2.800000000000000822e-01
1.333333333333333419e-02,-7.390065208404586472e-02,-1.931174275991631717e-01,6.934149625421907881e-02,3.000000000000000999e-01
1.333333333333333419e-02,-7.135159998579018725e-02,-2.014906560288971527e-01,8.831444378392556971e-02,3.200000000000001177e-01
1.666666666666666644e-02,-1.084209990670679941e-01,-2.421584590216900312e-01,-1.102579931682068359e-02,3.300000000000001266e-01
2.000000000000000042e-02,-5.260062820995543842e-02,-1.827418599164534752e-01,5.435712338803076749e-02,3.700000000000001621e-01
1.333333333333333419e-02,-5.713444400033237253e-02,-1.583779781200465309e-01,5.332484137413627534e-02,3.900000000000001799e-01
1.000000000000000021e-02,-9.123260135898403345e-02,-1.814297925315127014e-01,3.769552932666835054e-02,4.000000000000001887e-01
1.333333333333333419e-02,-8.868354926072835598e-02,-1.898030209612466823e-01,5.666847685637486920e-02,4.200000000000002065e-01
1.333333333333333419e-02,-9.321736505110528315e-02,-1.654391391648397380e-01,5.563619484248037705e-02,4.400000000000002243e-01
1.000000000000000021e-02,-1.325714105194461256e-01,-1.887768068794628551e-01,8.308706701501411551e-05,4.500000000000002331e-01
1.666666666666666644e-02,-9.172824781697928864e-02,-1.638024380664392932e-01,4.445187465073284494e-02,4.800000000000002598e-01
1.000000000000000021e-02,-1.310822932853201173e-01,-1.871401057810623825e-01,-1.110123312473251800e-02,4.900000000000002132e-01
1.666666666666666644e-02,-9.896889961878968522e-02,-1.480976380029232764e-01,2.246874443854741943e-02,5.200000000000002398e-01
1.000000000000000021e-02,-1.477605769636173016e-01,-1.680176882237826019e-01,-4.526090950451396727e-02,5.300000000000002487e-01
1.333333333333333419e-02,-8.405829786488638877e-02,-1.667176402465785356e-01,-4.681237409232049534e-02,5.500000000000002665e-01
1.333333333333333419e-02,-7.940555098407392487e-02,-1.670688636903351898e-01,-7.072467322955619529e-03,5.700000000000002842e-01
1.000000000000000021e-02,-5.975543356736064127e-02,-1.778815014564656960e-01,-5.793554631174306635e-02,5.800000000000002931e-01
1.333333333333333419e-02,-6.138039274857261252e-02,-1.742312463395586097e-01,-4.093761756125767481e-02,6.000000000000003109e-01
6.666666666666667095e-03,-1.089610738510966327e-02,-1.224543625992142309e-01,1.684519835232777332e-02,6.200000000000003286e-01
0.000000000000000000e+00,-1.089610738510966327e-02,-1.224543625992142309e-01,1.684519835232777332e-02,6.200000000000003286e-01
0.000000000000000000e+00,-1.089610738510966327e-02,-1.224543625992142309e-01,1.684519835232777332e-02,6.200000000000003286e-01
0.000000000000000000e+00,-1.089610738510966327e-02,-1.224543625992142309e-01,1.684519835232777332e-02,6.200000000000003286e-01
0.000000000000000000e+00,-1.089610738510966327e-02,-1.224543625992142309e-01,1.684519835232777332e-02,6.200000000000003286e-01
0.000000000000000000e+00,-1.089610738510966327e-02,-1.224543625992142309e-01,1.684519835232777332e-02,6.200000000000003286e-01
0.000000000000000000e+00,-1.089610738510966327e-02,-1.224543625992142309e-01,1.684519835232777332e-02,6.200000000000003286e-01
0.000000000000000000e+00,-1.089610738510966327e-02,-1.224543625992142309e-01,1.684519835232777332e-02,6.200000000000003286e-01
0.000000000000000000e+00,-1.089610738510966327e-02,-1.224543625992142309e-01,1.684519835232777332e-02,6.200000000000003286e-01
0.000000000000000000e+00,-1.089610738510966327e-02,-1.224543625992142309e-01,1.684519835232777332e-02,6.200000000000003286e-01
0.000000000000000000e+00,-1.089610738510966327e-02,-1.224543625992142309e-01,1.684519835232777332e-02,6.200000000000003286e-01
0.000000000000000000e+00,-1.089610738510966327e-02,-1.224543625992142309e-01,1.684519835232777332e-02,6.200000000000003286e-01
0.000000000000000000e+00,-1.089610738510966327e-02,-1.224543625992142309e-01,1.684519835232777332e-02,6.200000000000003286e-01
0.000000000000000000e+00,-1.089610738510966327e-02,-1.224543625992142309e-01,1.684519835232777332e-02,6.200000000000003286e-01
0.000000000000000000e+00,-1.089610738510966327e-02,-1.224543625992142309e-01,1.684519835232777332e-02,6.200000000000003286e-01
0.000000000000000000e+00,-1.089610738510966327e-02,-1.224543625992142309e-01,1.684519835232777332e-02,6.200000000000003286e-01
0.000000000000000000e+00,-1.089610738510966327e-02,-1.224543625992142309e-01,1.684519835232777332e-02,6.200000000000003286e-01
0.000000000000000000e+00,-1.089610738510966327e-02,-1.224543625992142309e-01,1.684519835232777332e-02,6.200000000000003286e-01
0.000000000000000000e+00,-1.089610738510966327e-02,-1.224543625992142309e-01,1.684519835232777332e-02,6.200000000000003286e-01
0.000000000000000000e+00,-1.089610738510966327e-02,-1.224543625992142309e-01,1.684519835232777332e-02,6.200000000000003286e-01
0.000000000000000000e+00,-1.089610738510966327e-02,-1.224543625992142309e-01,1.684519835232777332e-02,6.200000000000003286e-01
0.000000000000000000e+00,-1.089610738510966327e-02,-1.224543625992142309e-01,1.684519835232777332e-02,6.200000000000003286e-01
